episode,time,step,time1,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal,,,,,
171,171,500,450900,0,10,2.997,21.97425385,24.36243334,20.39614425,2325.672,2,-2,38422.91548,TRUE,,,,,
172,172,500,450900,0,10,0,22.81801816,23.00213673,21.23990856,2349.648,1,-0.98193165,38933.03861,TRUE,,,,,
173,173,0,900,0,10,-2.997,11.49362104,8.163465329,11.92010414,-5.994,0,3.689418649,38929.34919,TRUE,,,,,
174,174,500,450900,0,10,0,23.11397375,23.30562206,21.53586415,2337.66,1,-0.935507185,39438.3568,TRUE,,,,,
175,175,500,450900,0,10,0,22.68476304,22.86112324,21.10665344,2295.702,1,-1.005658498,39936.92156,TRUE,,,,,
176,176,500,450900,0,10,2.997,22.58507937,25.7610094,21.00696977,2313.684,2,-0.769316106,40441.9821,TRUE,,,,,
177,177,500,450900,0,10,2.997,22.47552054,25.51412834,20.89741094,2343.654,2,-0.861213819,40919.42415,TRUE,,,,,
178,178,500,450900,0,10,2.997,21.57860546,24.6994949,20.00049586,2313.684,2,-0.164483346,41441.42847,TRUE,,,,,
179,179,500,450900,0,10,2.997,22.52709064,25.67424087,20.94898104,2307.69,2,-0.793390783,41978.35749,TRUE,,,,,
180,180,500,450900,0,10,2.997,22.68472094,25.83520099,21.10661134,2349.648,2,-0.767569056,42479.98715,TRUE,,,,,
181,181,500,450900,0,10,2.997,21.38184273,24.52124653,19.80373312,2289.708,2,-0.135896423,43018.94359,TRUE,,,,,
182,182,500,450900,0,10,2.997,21.79667006,24.95126865,20.21856046,2313.684,2,-0.15210606,43572.04763,TRUE,,,,,
183,183,500,450900,0,10,0,21.82844111,21.34692516,20.2503315,2301.696,1,-2.25,44113.19781,TRUE,,,,,
184,184,0,900,0,10,-2.997,14.86636631,8.863324793,10.26548787,-5.994,0,3.3624215,44109.83539,TRUE,,,,,
185,185,500,450900,0,10,2.997,22.58289666,25.73121485,21.00478706,2313.684,2,-0.784192158,44649.74428,TRUE,,,,,
186,186,500,450900,0,10,2.997,22.01064104,25.03811804,20.43253144,2301.696,2,-0.946716883,45164.50852,TRUE,,,,,
187,187,500,450900,0,10,0,22.25952825,21.79327887,20.68141865,2301.696,1,-2.25,45706.312,TRUE,,,,,
188,188,500,450900,0,10,0,21.67450128,21.19462007,20.09639167,2295.702,1,-2.25,46255.22609,TRUE,,,,,
189,189,500,450900,0,10,2.997,21.99867928,25.02717215,20.42056968,2313.684,2,-0.948210684,46792.59708,TRUE,,,,,
190,190,500,450900,0,10,2.997,21.7486811,24.13208568,20.1705715,2313.684,2,-2,47334.84157,TRUE,,,,,
191,191,500,450900,0,10,2.997,20.90813355,23.88316653,19.33002394,2313.684,2,-0.286410439,47872.02843,TRUE,,,,,
192,192,1,1800,0,10,-2.997,11.54758355,8.61235493,12.90993646,-11.988,0,3.520295694,47865.44879,TRUE,,,,,
193,193,500,450900,0,10,2.997,21.92143709,24.94801603,20.34332748,2223.774,2,-0.963160858,48305.65731,TRUE,,,,,
194,194,500,450900,0,10,0,22.7053932,22.88840298,21.1272836,2307.69,1,-0.999146012,48840.07988,TRUE,,,,,
195,195,500,450900,0,10,0,22.59898408,22.77848875,21.02087448,2319.678,1,-1.016914283,49388.09689,TRUE,,,,,
196,196,500,450900,0,10,2.997,22.39532365,25.53968193,20.81721405,2325.672,2,-0.815412236,49921.90765,TRUE,,,,,
